#{"t_start": 1627031142.1006758, "env_id": null}
r,l,t
0.007999,2,7.535419
10.385963,2,31.614616
4.476365,2,50.541427
6.2692,2,68.672097
1.545631,2,78.464275
1.398708,2,87.008056
0.811678,2,95.551754
0.405763,2,102.55964
22.354686,2,148.673213
14.938506,2,184.524851
17.218452,2,222.269226
0.853285,2,230.490911
4.351054,2,247.636289
0.285853,2,254.140906
0.358614,2,261.05948
21.020336,2,307.499449
31.209899,2,374.41844
0.650248,2,381.568164
2.200045,2,391.348835
1.70181,2,401.036509
0.152959,2,406.802298
0.904986,2,415.681708
13.85231,2,446.625248
1.174048,2,455.652561
6.234785,2,474.899101
3.84165,2,488.846147
10.261781,2,516.468847
4.180306,2,529.52166
4.332827,2,543.549008
15.995279,2,578.533942
4.413066,2,592.948859
7.309419,2,613.536184
0.403373,2,620.002672
26.463773,2,679.674689
9.193425,2,705.920008
12.329129,2,736.170836
0.900183,2,745.376999
20.863918,2,792.976601
39.9274,2,885.903591
0.995595,2,894.507146
2.045759,2,905.54182
0.932605,2,915.01489
0.182596,2,921.351924
1.459584,2,930.609313
0.694865,2,939.36324
1.167678,2,948.562084
3.702465,2,962.503583
0.376435,2,969.829448
0.002,2,976.280054
1.074759,2,984.987509
4.646781,2,1000.679934
1.109203,2,1011.430211
2.406688,2,1022.569132
6.335326,2,1058.60875
0.660043,2,1066.597986
4.274603,2,1080.505574
1.535557,2,1090.209352
1.493152,2,1100.548301
0.771812,2,1109.142418
6.371735,2,1131.775489
1.555562,2,1141.862715
2.429553,2,1152.629285
1.152558,2,1161.251344
1.696581,2,1170.303055
1.723675,2,1181.42248
17.202546,2,1223.338593
2.949802,2,1239.510682
1.24815,2,1248.122287
6.939582,2,1267.360557
1.809343,2,1276.613513
0.85977,2,1285.041975
7.003554,2,1309.147973
8.965138,2,1332.456196
1.13225,2,1341.928909
4.429865,2,1357.83098
4.291541,2,1371.83782
0.087768,2,1378.700611
5.05556,2,1395.057843
1.613849,2,1404.173298
26.611763,2,1454.575089
0.846543,2,1463.406432
0.450545,2,1470.597147
0.312142,2,1476.676769
1.54963,2,1486.66094
0.528563,2,1494.319398
0.449171,2,1501.78283
0.758508,2,1528.503499
6.342354,2,1547.974005
4.180845,2,1560.948793
17.135454,2,1597.193045
0.763181,2,1605.177152
4.933295,2,1620.532892
0,2,1626.764784
1.514726,2,1635.514745
15.217722,2,1668.237082
0,2,1674.5823
3.268086,2,1688.669296
1.251573,2,1698.383467
1.688497,2,1708.660798
1.764131,2,1718.955494
4.463571,2,1732.789425
4.080699,2,1748.057466
1.69169,2,1759.030025
6.970681,2,1778.787818
0.297653,2,1786.256234
1.823545,2,1795.77791
39.960932,2,1868.004915
1.603357,2,1878.152035
1.435693,2,1887.914932
1.7742,2,1897.520686
2.026519,2,1908.389215
2.290098,2,1919.906737
0.155163,2,1926.477441
3.989103,2,1940.349683
0.005998,2,1946.137402
3.465531,2,1960.38325
0.270802,2,1968.168564
