#{"t_start": 1627392496.4626224, "env_id": null}
r,l,t
0.549182,3,8.459549
2.104572,3,27.976885
9.087339,3,46.241241
2.36458,3,58.381461
4.516005,3,71.176814
2.541052,3,86.614934
4.41667,3,100.53467
0.624983,3,108.484357
34.756164,3,158.804477
14.822668,3,185.108548
10.512184,3,206.142981
10.775854,3,225.837124
3.352078,3,236.466695
2.836757,3,246.503039
8.489421,3,264.486239
6.400741,3,285.036715
1.516174,3,294.061522
21.205031,3,326.826646
9.024755,3,356.086569
0.338089,3,364.504934
18.882217,3,398.390736
1.967591,3,417.418831
7.970357,3,436.757165
4.006165,3,457.000649
12.23784,3,479.377019
8.196087,3,496.64726
15.614195,3,518.657709
22.455227,3,560.788524
9.533557,3,582.404516
0.967648,3,590.925667
6.798714,3,606.86439
28.524637,3,652.143743
28.496268,3,696.354688
11.290517,3,717.321801
1.816624,3,728.0134
2.644534,3,739.323467
1.014895,3,748.27606
7.08243,3,768.786776
2.118125,3,783.483805
4.843619,3,796.761805
6.782726,3,812.491073
11.100735,3,838.565325
8.083825,3,858.407586
7.415764,3,879.242058
2.120959,3,893.76684
9.972146,3,918.225261
0.992881,3,926.627619
2.255546,3,944.922857
4.2761,3,957.568276
15.312823,3,986.362264
1.338362,3,998.588855
3.079361,3,1010.069586
7.242708,3,1026.214931
1.344916,3,1034.631116
12.679056,3,1056.277011
3.192025,3,1068.025712
11.507123,3,1094.837384
61.454899,3,1203.734528
3.752348,3,1216.090312
1.940709,3,1227.122251
7.267537,3,1246.288435
10.864446,3,1268.661112
5.684353,3,1283.534172
3.257746,3,1294.927541
28.663601,3,1338.548324
7.105498,3,1357.305665
6.289586,3,1372.60996
8.972686,3,1390.133506
2.688984,3,1400.86233
30.02078,3,1447.013653
8.308293,3,1463.782237
9.715883,3,1488.276863
18.140267,3,1523.853267
7.048171,3,1541.639393
2.581222,3,1557.539651
4.896581,3,1581.008754
6.836229,3,1596.143076
6.686668,3,1613.203321
32.025997,3,1679.674236
0.780242,3,1687.0232
9.420702,3,1704.343843
12.022703,3,1728.085741
6.526149,3,1746.718835
2.717513,3,1757.140232
3.453498,3,1777.198618
13.340186,3,1803.612774
2.414946,3,1814.867766
11.107416,3,1839.3548
22.221477,3,1880.995683
13.189966,3,1909.969179
18.363008,3,1949.695535
24.616571,3,1986.76088
8.444096,3,2005.570158
0.638126,3,2013.100299
0.832823,3,2024.165465
7.115066,3,2039.790874
0.983942,3,2048.321358
48.100686,3,2113.438206
7.726019,3,2131.785945
6.948936,3,2147.242373
1.351591,3,2155.364944
24.736286,3,2205.432298
1.042682,3,2214.195164
15.630877,3,2244.92337
8.344668,3,2262.091395
8.902896,3,2286.895948
16.924492,3,2323.51308
3.585864,3,2337.436848
4.366902,3,2352.34036
6.053934,3,2367.165084
53.038822,3,2447.462535
4.639115,3,2462.343935
9.902631,3,2484.195706
42.101779,3,2549.681909
23.209004,3,2586.237503
20.024244,3,2616.642672
18.199186,3,2650.089346
1.825864,3,2660.380951
1.721223,3,2670.126757
25.464998,3,2721.769209
28.50054,3,2765.379751
6.554514,3,2784.791403
20.736437,3,2818.050677
5.996777,3,2832.391874
10.414061,3,2862.720344
19.631391,3,2896.586931
19.672941,3,2932.628899
17.300423,3,2966.210548
4.585925,3,2987.899472
14.91757,3,3017.052286
11.849188,3,3041.923947
4.410241,3,3054.903502
6.958533,3,3071.185349
18.356753,3,3102.760237
30.919856,3,3148.698625
59.962934,3,3239.992915
2.502299,3,3257.793202
9.44071,3,3281.714975
15.799303,3,3313.048763
20.948382,3,3347.371162
26.704181,3,3394.317971
9.956016,3,3418.219423
18.544047,3,3450.789362
1.575344,3,3461.906736
14.368397,3,3489.656054
9.404377,3,3513.068392
5.966145,3,3528.105215
29.414492,3,3578.737181
11.545808,3,3600.821293
10.106175,3,3621.822781
7.86971,3,3644.151491
0.800993,3,3653.230441
3.219982,3,3665.120631
11.841198,3,3686.95335
8.919944,3,3708.190582
5.699913,3,3726.956705
49.552739,3,3815.906451
2.296781,3,3827.555392
17.815912,3,3857.102577
7.176706,3,3872.64221
43.996453,3,3944.36923
24.643348,3,3989.022364
35.940317,3,4057.314209
5.448343,3,4071.425971
38.760598,3,4125.40657
1.104783,3,4134.02906
35.537443,3,4205.794775
8.421154,3,4225.688324
2.651552,3,4244.129778
13.591369,3,4273.825446
13.612296,3,4299.354325
28.647853,3,4344.914593
22.688055,3,4386.951511
2.0148,3,4397.801371
12.734241,3,4422.784848
1.998202,3,4438.295985
6.756224,3,4453.289299
42.328323,3,4522.960212
16.48169,3,4554.807608
27.933749,3,4603.722146
6.693954,3,4622.981969
6.918163,3,4641.600888
18.594008,3,4679.371557
3.167406,3,4696.329047
21.206209,3,4729.032273
0.992863,3,4736.71373
50.124479,3,4809.74297
59.157459,3,4902.361192
30.922652,3,4957.424212
0.412292,3,4964.162615
31.096896,3,5018.287288
6.309288,3,5035.162588
2.252277,3,5050.248107
8.142979,3,5070.361072
15.019591,3,5099.601002
0.603654,3,5106.924647
9.447468,3,5129.969185
37.10081,3,5190.49119
17.726381,3,5223.275594
10.805391,3,5248.160488
26.043404,3,5290.776581
6.911681,3,5308.066112
9.292005,3,5329.612928
48.689685,3,5408.026003
24.01527,3,5455.113575
18.815314,3,5487.852401
36.055667,3,5553.198207
12.270108,3,5582.342667
28.918286,3,5628.33747
11.085173,3,5649.318692
4.042202,3,5661.27867
15.917845,3,5694.843368
59.50526,3,5780.363069
0.973379,3,5788.917977
20.500375,3,5822.717015
8.474238,3,5838.70338
3.636355,3,5859.024568
15.576775,3,5890.62
4.072606,3,5905.55919
4.551333,3,5919.372638
4.368086,3,5936.049395
18.523456,3,5972.448434
48.099592,3,6052.657447
3.993678,3,6065.869667
18.07797,3,6097.923548
2.486427,3,6109.02428
13.254469,3,6139.20093
7.929488,3,6155.166416
12.615446,3,6180.673932
17.985858,3,6213.666958
3.501838,3,6225.802392
79.149433,3,6328.796406
6.076811,3,6344.055734
13.080651,3,6374.630545
2.675925,3,6386.671317
27.291118,3,6435.965837
20.791193,3,6471.715849
15.251126,3,6500.243025
29.5096,3,6549.046624
19.781161,3,6598.11653
30.518526,3,6652.151335
9.306378,3,6673.407684
2.742348,3,6685.972242
15.408468,3,6714.051207
4.036815,3,6727.217256
10.331722,3,6752.353133
2.455881,3,6763.473469
12.012597,3,6790.333082
42.674526,3,6861.580678
2.849121,3,6883.098835
13.356167,3,6909.3444
17.29039,3,6940.767128
8.109051,3,6957.055144
55.169573,3,7039.016662
35.877241,3,7111.985709
30.13749,3,7155.866788
42.080429,3,7216.279493
12.258779,3,7242.777977
32.053991,3,7290.105058
3.119827,3,7301.737952
20.897558,3,7335.460828
55.218364,3,7431.998201
2.189021,3,7448.461238
13.279026,3,7480.059619
11.914545,3,7514.024786
9.456495,3,7533.781914
35.275657,3,7597.017545
4.195928,3,7612.617377
6.316513,3,7630.832669
9.519677,3,7651.212436
13.397152,3,7677.824514
13.231045,3,7705.703755
10.073046,3,7728.455119
29.552109,3,7777.049578
8.205142,3,7795.670872
13.188729,3,7818.243429
6.382944,3,7842.124475
38.07722,3,7911.249519
16.144736,3,7941.649433
13.367895,3,7974.966088
39.396109,3,8041.94744
3.091266,3,8057.458283
43.046375,3,8127.813715
9.926801,3,8149.402002
28.810906,3,8200.092753
27.485266,3,8247.842142
13.227764,3,8276.973758
1.079987,3,8285.711292
35.617422,3,8339.449062
29.469501,3,8383.749495
12.154583,3,8408.718554
8.304009,3,8429.250027
10.998147,3,8452.863044
22.083738,3,8493.466809
75.946347,3,8625.905344
33.461455,3,8686.850738
