#{"t_start": 1626793130.9445336, "env_id": null}
r,l,t
-491.774728,97,8.199638
-1016.864662,196,23.215429
-66.497152,15,24.861971
-449.866206,100,32.112889
-304.895518,48,36.093126
-598.648048,96,43.160321
-577.286386,96,50.154367
-294.725281,96,56.924838
-3.309039,7,57.952217
-572.273264,96,64.69291
-15.854507,8,65.788724
-14.444019,9,66.925078
-379.062426,96,74.669667
-664.954522,100,81.487006
-472.503151,76,87.253855
-1681.40218,294,107.079798
-293.853088,95,113.599882
-124.124514,95,120.534005
-93.670219,27,122.918881
-1106.992445,297,145.581641
-212.616466,35,148.511412
-166.381719,30,150.898766
-59.854956,14,152.325603
-328.617993,97,160.041531
-1166.391428,297,182.737629
-9.345264,6,183.742967
-561.211465,96,190.483088
-409.598348,98,197.521828
-187.127615,60,202.039317
-628.777519,96,208.68767
-330.009031,196,221.879544
-280.066106,45,225.285482
-421.471629,97,232.472091
-83.681632,49,236.336274
-331.639029,95,243.169206
-528.471391,96,250.756454
-219.071056,95,257.510034
-880.39246,196,271.174676
-51.901088,23,273.540251
-581.516822,94,280.49799
-242.729811,51,284.63179
-26.714262,96,292.005474
-15.892569,10,293.199211
-319.112194,96,300.892518
-610.616511,200,316.201247
-950.150143,194,330.237628
-1316.230107,366,356.953444
-34.322012,14,358.50397
-277.588457,93,365.294834
-1053.653191,195,378.527933
198.244126,196,392.870715
-975.846017,195,407.68086
-601.570948,98,413.795038
-264.6171,96,420.726858
-13.119233,7,421.741269
-89.036053,200,436.073812
-457.164251,94,443.154498
-336.36937,195,456.806633
-132.490738,29,459.201555
-46.601734,98,466.705649
-321.241415,79,472.272268
-821.857354,197,485.756218
-83.962035,96,493.781536
-340.046097,274,511.336677
29.372346,106,518.796005
-335.27304,96,526.109057
-14.017469,10,527.331927
-1041.70091,399,554.4842
-814.089909,196,568.587844
-45.838875,102,575.615012
-229.980685,96,583.239136
252.283624,96,589.970698
2.038265,6,590.903628
-75.633338,17,592.522689
-683.178376,294,611.130768
-1093.777302,183,624.052115
-678.932608,180,636.92592
-133.836954,28,639.444741
170.43232,96,646.325367
-583.305337,196,660.993356
-160.964787,195,674.771791
-683.373647,192,689.525839
-167.700965,98,696.743416
-602.794178,163,707.262465
-334.436649,96,714.585972
530.531292,197,728.104932
-1413.475392,301,748.139375
-143.241707,95,755.289193
-634.816305,100,762.155975
-24.096014,9,763.297086
-511.663893,95,770.461585
-841.488988,195,783.628893
-153.043155,198,796.841842
-12.709104,6,797.82074
437.513351,397,825.659519
-400.675433,196,840.862086
-645.306153,97,847.585211
423.43082,198,860.561173
-699.860624,268,878.933297
340.950334,196,892.494468
-392.240635,96,899.315784
-224.193417,196,912.518317
528.731298,103,919.654977
-1012.251954,195,933.195348
18.115229,95,939.685364
-870.682693,398,965.781432
-205.291182,41,968.956048
-13.496461,96,976.250284
661.355768,112,984.146769
-101.774867,197,997.573003
1146.478645,295,1016.980655
-4.334783,195,1030.747035
388.088213,119,1038.754249
-824.416642,395,1064.019831
-545.936448,94,1070.522091
-529.827402,103,1077.53002
-266.336832,95,1084.45161
-716.074942,176,1096.687771
-185.867965,95,1103.691638
237.374297,197,1118.269539
-335.753308,94,1125.614602
297.248537,96,1132.488003
-149.706142,394,1158.092685
-186.296251,57,1162.385369
25.333228,196,1175.793352
-448.137712,97,1182.4177
-638.933083,196,1197.041702
-1266.874504,395,1222.816778
-764.043627,194,1236.088187
89.843118,195,1249.553219
-35.96321,11,1250.907287
474.713019,195,1264.400354
-740.028207,154,1274.849348
240.796197,295,1296.364932
-207.368603,95,1304.030945
-208.379224,95,1310.77476
-736.168249,196,1323.942068
267.870254,103,1331.137761
-470.752133,196,1344.538165
297.635141,296,1364.976399
-112.111962,21,1366.863055
-489.981384,96,1374.1345
412.31819,112,1382.673689
-203.986074,47,1386.133897
-691.951776,210,1400.516228
78.855921,97,1407.69278
-1123.662436,296,1429.054357
-13.808481,7,1430.066791
-1111.890466,296,1450.279554
-41.6969,11,1451.587389
-616.432189,206,1464.915265
-1099.572508,396,1493.389535
605.721272,101,1500.772692
4.181835,6,1501.723548
-113.719312,296,1520.908734
-176.86674,97,1527.655545
-286.345919,195,1540.482249
-709.851346,106,1547.333651
-66.458611,199,1560.757351
-57.878171,197,1574.361879
-156.359494,294,1595.237831
-1980.664317,960,1660.102649
-35.950183,9,1661.363523
573.166014,96,1668.280761
-201.339103,262,1685.859942
-60.944598,12,1687.205369
-116.682097,32,1689.828806
801.218322,397,1716.16703
-299.946894,297,1736.47452
892.677461,296,1755.603599
-232.714257,66,1760.183347
1219.310182,701,1809.848974
-829.817004,196,1824.378773
-13.070159,24,1826.400433
-131.036854,100,1833.176786
-1084.553419,199,1846.834737
-579.333362,212,1861.733513
-310.87594,96,1867.977303
-746.857867,196,1882.377038
-464.898981,96,1889.648544
59.074918,209,1903.193832
63.392133,97,1910.142094
-147.361116,96,1917.338854
-180.433128,147,1927.643847
7.99352,297,1948.880844
-148.29819,196,1961.650152
-627.002009,93,1967.807963
-192.098766,495,2000.49211
-718.781077,296,2023.021019
52.773395,187,2036.699342
-69.288536,15,2038.164025
-221.870899,96,2045.400305
-15.286236,8,2046.558901
-1682.746469,651,2089.120222
155.0079,601,2131.419669
603.124044,297,2151.614671
-788.137769,195,2164.249496
-996.260216,294,2184.787086
-1349.400094,525,2221.728864
253.977818,97,2228.97936
-34.607338,9,2230.084209
381.094425,99,2236.940282
-367.633902,100,2244.201112
-650.275156,119,2252.215584
-15.029803,6,2253.239342
-641.39655,397,2282.251387
-881.919822,197,2295.87592
-953.457995,195,2309.804875
-223.772222,100,2316.558019
-1036.826808,396,2343.272153
-485.631534,694,2393.278594
364.359374,308,2414.17863
-216.288993,197,2427.325437
-23.368777,8,2428.405725
-592.393753,95,2435.074135
-218.869248,37,2438.188644
242.829765,167,2449.827428
-14.878521,6,2450.829002
-225.557235,95,2457.704496
130.166385,507,2492.195565
-462.078245,95,2499.159917
396.705645,195,2512.550463
263.278522,96,2519.201655
-191.282178,395,2545.863124
-803.056213,210,2560.385972
-1338.790531,286,2578.655303
-1372.141626,295,2598.539636
-773.440795,195,2612.018872
-122.647553,24,2614.180669
-197.980069,44,2617.708827
-179.335599,98,2625.008246
379.526846,96,2632.272968
-76.366138,194,2646.446717
-374.884843,97,2653.71105
-279.12057,96,2660.978549
-1009.813244,194,2673.337576
-957.309948,195,2686.920784
-18.722289,7,2687.933631
-1512.289849,495,2722.265416
423.997644,97,2729.585709
-437.577527,95,2736.556445
657.795945,95,2743.073697
179.562029,195,2757.096986
-140.83044,296,2777.12749
-469.467466,95,2783.446352
766.946019,99,2790.705793
-384.44514,95,2797.801611
646.240639,295,2818.737389
665.911074,97,2826.226295
-538.201043,125,2835.71318
434.006893,127,2844.297566
-46.362953,11,2845.544831
1.249102,96,2852.35961
-550.712293,294,2875.545456
66.047885,496,2908.450632
-1004.689715,294,2928.112296
48.559582,194,2940.529466
-877.334302,196,2954.527495
-494.416853,396,2982.433851
-314.126093,96,2989.794862
-1016.876705,194,3002.570647
-649.865634,542,3040.210577
-251.517396,96,3047.822864
-178.174663,97,3054.512128
-1086.547581,196,3067.957994
-303.913251,95,3074.77983
-264.192694,96,3081.61979
-480.688938,94,3087.797188
448.693386,98,3094.601101
-61.751853,198,3108.306063
-668.46347,101,3114.712449
-581.183912,196,3127.77763
-674.12262,196,3140.846135
-350.454621,96,3148.920386
-908.678512,295,3167.988178
184.52579,295,3187.605951
-391.165174,99,3195.246288
61.795091,222,3210.313183
-1455.890502,297,3230.403246
30.01563,97,3237.014355
16.10294,596,3278.772983
-1307.144971,295,3299.615841
-518.330022,195,3314.836711
-259.778045,195,3328.75162
-819.44699,139,3338.395373
-678.566192,94,3344.951623
375.917814,95,3352.276896
-419.268998,112,3360.649638
-1253.169028,441,3389.791686
-327.562375,159,3400.692512
-616.325649,195,3414.377339
-816.510681,296,3434.8538
-577.45359,102,3442.424167
8.03197,6,3443.3848
-51.331163,95,3450.407206
776.149215,199,3464.85883
-901.617282,195,3477.630093
-62.485521,296,3499.484687
-69.40235,194,3513.516308
-446.867286,95,3520.129861
-475.688893,78,3525.498757
286.407636,396,3552.110756
-931.735847,298,3572.122495
-589.378313,196,3585.644953
-528.317926,84,3591.287625
-521.693624,109,3599.047133
1317.722462,358,3623.492388
-552.286816,696,3669.223349
35.538669,96,3676.980272
-770.203997,332,3698.635446
-2.601069,7,3699.645075
-802.218336,148,3709.645947
-599.947827,195,3723.111317
-651.003608,221,3738.557195
-373.733616,96,3747.27111
-104.781498,99,3754.337044
123.376717,214,3768.930886
-152.296473,96,3775.741733
-690.041568,195,3788.97715
-238.285107,196,3802.298576
-513.113563,96,3809.630181
-453.318148,295,3831.119221
-584.00447,96,3837.364231
597.168187,98,3844.499289
-533.487355,296,3865.331216
-461.720119,96,3872.951918
-561.567472,94,3879.029103
122.17777,294,3899.273798
-157.758291,98,3906.195833
34.952175,96,3913.833361
-240.384473,96,3920.952119
419.61355,95,3928.519123
-490.671269,189,3942.102856
-189.76649,96,3948.976284
-7.491916,198,3962.64691
-685.473487,255,3979.452565
-718.964769,195,3992.326508
-287.042168,197,4008.916651
-194.876271,95,4015.737448
-486.611207,98,4023.458058
-294.60075,196,4037.496704
-267.165651,54,4041.62731
-401.490274,87,4048.246061
-126.881224,96,4055.555497
433.129534,97,4062.447345
757.316204,194,4075.162857
-508.411145,94,4082.174002
169.297497,96,4089.055419
-178.129332,96,4096.489266
-46.963694,199,4110.072632
-317.605554,96,4116.869408
-442.134916,95,4123.593515
-496.250708,97,4130.240028
423.040363,195,4143.669423
-683.777873,195,4156.029992
-90.449048,20,4157.94903
-327.651436,210,4172.935536
-680.662617,132,4181.978432
-1117.053597,195,4195.639513
-805.424834,197,4209.450541
-732.491588,122,4217.807203
-765.46247,194,4231.536877
-175.88389,44,4235.01606
913.606278,109,4242.410808
-113.048207,285,4261.828659
-1186.749745,297,4282.821686
-270.779136,97,4290.068786
-1854.570538,396,4316.637912
219.400115,104,4323.840168
227.594905,99,4330.678158
655.418508,135,4340.033163
-0.873476,5,4340.91024
-652.418779,196,4355.038819
-1102.796459,196,4368.144051
-333.076913,99,4375.176921
-512.911518,88,4381.578866
-1226.017839,295,4401.617419
129.42334,97,4408.502426
-911.673971,195,4422.637374
-556.010701,97,4428.89185
-46.178082,59,4433.070112
-3.289965,7,4434.08663
-810.932141,195,4447.696801
414.689016,95,4454.422575
-797.855502,197,4467.568448
-59.205247,15,4469.130996
-966.919899,193,4481.758406
-682.738037,204,4495.607965
-100.331149,198,4509.567251
-377.549025,95,4516.378077
-792.660991,288,4536.043235
2.013177,96,4543.288218
-326.738037,95,4551.141683
-125.788879,97,4557.745212
-1073.247134,207,4572.560841
599.971668,196,4585.534044
-930.575622,195,4599.911288
-250.023214,122,4608.305984
-1602.18209,297,4630.344454
-120.090565,96,4637.233886
-535.037355,88,4643.499288
-342.414379,96,4650.295756
587.912545,96,4657.332671
34.038982,96,4663.792832
-364.332366,94,4670.830988
-594.965395,372,4696.201009
195.998145,97,4703.151539
524.347243,101,4710.084363
-942.992212,196,4724.130709
-404.980554,100,4731.506694
-85.104082,29,4734.072952
436.669188,97,4742.007912
-118.177683,96,4748.576735
-809.041531,397,4777.5788
-936.969055,195,4792.535006
-228.546367,75,4797.887943
1167.978899,238,4812.882041
-1274.058757,297,4835.266659
-603.129545,286,4853.761107
-21.035024,14,4855.297102
-405.309164,151,4865.224162
-476.465155,94,4871.400918
-698.778489,195,4884.256621
-141.221012,95,4890.949833
112.957866,94,4897.552958
-766.007968,195,4911.139004
-444.377931,95,4918.661432
