#{"t_start": 1626785288.6592247, "env_id": null}
r,l,t
-707.609623,97,7.269947
-732.210002,95,13.791543
-70.387497,14,15.210599
-713.576844,95,21.795054
-327.922732,97,29.239769
-370.319736,198,42.775018
-402.919827,95,50.169647
-685.49837,97,57.187194
-431.569699,95,63.799301
-1173.960864,195,77.006175
-2075.378694,295,96.643945
-588.739324,96,103.267274
-1383.90507,198,116.92871
-197.27156,44,120.341369
-112.093183,23,122.395169
-115.694266,196,135.566237
-399.381001,95,142.280503
-758.787005,198,155.859486
-291.50609,96,162.742871
-1615.068592,232,179.583445
-476.196185,98,186.010563
-558.024913,94,193.122154
-200.648577,96,199.939972
-271.983071,50,203.693149
-473.360008,95,210.895608
-707.719165,95,217.636515
-665.545998,116,226.079531
-157.792974,35,229.039141
-518.695671,95,235.900434
-401.000475,94,242.894789
-574.924212,196,255.997141
-501.848511,94,262.815605
-34.051699,7,263.825727
-2063.627743,294,284.328941
-218.421152,39,287.558979
-1084.149921,195,300.607725
-658.282089,97,307.839685
-537.725265,95,315.137294
-315.249167,97,321.916973
-456.442872,95,328.798289
-1137.395284,297,350.439535
-1288.333986,294,369.997846
-344.879007,95,377.461619
-226.016238,97,384.306325
-10.66334,95,390.759843
-231.928917,96,397.944112
-918.239038,143,406.576765
-740.772758,154,416.812693
-708.023292,111,424.25919
-996.429632,210,438.32993
-128.348854,196,451.283725
-436.274737,95,458.3449
-673.796507,95,464.567294
-35.92021,9,465.694892
-838.305921,200,478.996322
-611.235082,97,486.328693
-988.550445,195,498.860557
-44.297234,94,505.417141
-30.384672,9,506.610609
25.904721,96,513.128483
-28.702576,9,514.287805
-15.774212,6,515.262866
-187.869746,98,522.481482
-554.682925,196,536.768052
-564.348527,94,544.212476
-308.663872,95,551.177827
-1698.818058,296,571.657261
-1099.497459,196,585.411165
-929.780109,196,602.052494
-2395.045685,396,627.833314
-292.38958,97,634.908658
-472.73868,95,642.065552
-905.955103,296,662.453501
-249.998919,195,675.803725
130.80717,99,682.642754
-14.548416,7,683.650456
-1031.832631,195,695.882341
-2040.251079,298,715.120209
-464.860284,196,728.812912
-589.130631,85,735.344281
-728.60136,96,742.343688
-432.334741,95,749.382067
-249.21557,53,753.638776
-489.855667,99,761.030253
-641.455182,196,775.063399
-857.090356,296,797.1524
213.705182,197,811.926635
759.804755,104,819.354101
102.164078,201,832.972134
-575.212443,97,840.214364
-1857.001667,396,867.877428
-109.295616,22,869.955508
-397.112868,193,883.126482
-691.180801,95,889.353586
-531.118609,95,896.18986
-739.667297,134,905.296844
-90.276746,22,907.278672
-456.020264,95,914.250904
127.350429,96,922.194552
-63.615216,13,923.60497
-244.95277,196,937.621814
-441.853405,96,944.431851
-1123.781877,195,958.193661
174.659919,100,965.061217
257.384249,105,972.178996
-60.304681,95,979.237578
-6.210981,8,980.300178
