#{"t_start": 1626702195.922171, "env_id": null}
r,l,t
-218.074703,26,3.386494
-52.094145,6,4.243951
-50.497869,8,5.173562
-151.385425,18,6.605664
-112.898202,17,7.939208
-126.102114,16,9.245536
-112.06554,14,10.506632
-186.077314,24,12.394586
-141.465874,16,13.878905
-15.298256,7,14.842856
-165.066136,21,16.48799
-424.543437,47,19.692154
-28.451514,11,20.8724
-48.088653,12,22.04369
-39.194379,9,23.083298
-176.363496,20,24.75523
-86.209401,11,25.917802
-157.633732,18,27.424915
-123.953506,20,29.020872
-171.888166,21,30.740442
-77.979602,9,31.82912
-100.726784,13,33.066408
-106.946698,13,34.400249
-11.886625,3,35.14431
-110.931281,19,36.931297
-248.833987,34,39.34216
-117.536667,17,40.828173
-172.500437,20,42.609521
-60.524665,8,43.624856
-281.667407,34,46.106107
-69.462303,9,47.142735
-241.014452,28,49.243032
-61.455201,9,50.274321
-81.516918,18,51.904586
-175.304694,27,53.889221
-155.144573,17,55.338282
-31.542594,9,56.47491
-136.457139,16,57.98551
-39.262297,6,58.967998
-284.572342,40,61.781349
-256.701653,31,64.049044
-165.062798,19,65.78178
-215.007148,25,67.662489
-77.107381,29,69.964328
-25.301644,4,70.725718
-41.895079,13,72.031903
-25.840363,6,72.946101
-357.764209,41,75.843004
-91.465058,12,77.141912
-220.669095,27,79.18624
-256.867538,32,81.681717
-271.043461,35,84.171933
-24.511508,5,85.038211
-16.651375,5,85.922967
-94.004703,12,87.152138
-78.738869,10,88.202076
-211.570733,23,89.99903
-186.839178,22,91.720299
-128.805833,16,93.21989
-89.135483,14,94.529011
-18.966569,6,95.646183
-183.656366,23,97.618384
-65.546827,8,98.583888
-106.985387,20,100.34571
-234.79247,29,102.578097
-134.519017,18,104.190816
-40.813632,6,105.069133
-16.844777,4,105.863379
-145.064643,20,107.848579
-152.961072,18,109.619494
-277.560621,34,112.241395
-72.229598,10,113.461346
-73.737408,10,114.775209
-18.287805,4,115.60659
-91.778357,12,116.908187
-157.163427,26,119.687331
-63.963427,9,120.914184
-148.627993,19,122.772157
-226.536773,35,125.77168
-61.764788,10,127.047073
-27.47876,5,127.873774
-284.600848,34,130.834077
-69.71591,17,133.029467
-6.228976,4,133.819131
-92.330841,12,135.760667
-33.312001,6,136.790568
-4.8852,3,137.541767
-74.572128,10,138.785405
-14.873832,4,139.590941
-19.740821,7,140.63717
-38.712513,7,141.61505
-48.729946,7,142.540767
-28.566859,10,143.817477
-71.897081,9,144.889915
-158.44439,21,146.675252
-178.939485,22,149.77016
-15.977317,4,150.627208
-170.367846,21,153.023632
-8.285268,3,153.73538
-264.611096,32,156.738551
-29.816117,6,157.639985
-53.762265,9,158.80189
-21.32241,4,159.768159
-17.458724,4,160.559222
-94.81646,13,162.198931
-13.733428,3,163.098438
-17.311333,4,163.861623
-92.946216,12,165.263386
-34.482604,6,166.314909
-19.165255,4,167.183294
-146.988471,18,169.082615
-8.051685,3,169.846483
-35.49557,5,170.956662
-7.210338,3,171.755428
-13.710238,3,172.583059
-19.98717,5,173.502665
-9.830435,3,174.294816
-57.32359,9,175.462702
-69.978411,10,176.780748
-43.569091,7,177.87096
-58.738331,8,179.0828
-89.915945,14,180.597258
-34.988207,5,181.526898
-9.908113,3,182.453422
-1.305849,2,183.143089
-17.97903,3,183.895853
-80.962937,11,185.367962
-71.28452,10,186.512099
-12.542307,3,187.364973
-7.656609,3,188.211973
-95.747669,13,189.784677
-24.178273,5,190.67878
-39.739797,7,191.83977
-1.488157,2,192.541442
-9.899626,4,193.470277
-117.239984,15,195.153069
-83.674309,15,197.366262
-21.989888,4,198.263543
-21.304239,5,199.103512
-6.01745,2,199.796053
-79.173163,9,200.892425
-122.377453,16,202.926874
-11.811428,4,203.813722
-33.17493,6,204.807549
-26.109563,5,205.706866
-13.461358,4,206.500015
-49.50315,8,207.507366
-75.80609,11,208.823551
-76.601897,11,210.185667
-4.640457,3,211.037013
-5.679114,3,211.837023
-21.616568,4,212.587269
-45.481764,6,213.553641
-202.939895,23,215.570196
-2.749803,3,216.330103
-116.727263,16,217.997913
-20.256801,4,218.835498
-66.109841,10,220.425942
-200.622805,25,222.466
-11.252946,3,223.237385
-5.619079,3,223.98174
-44.337395,7,225.086259
-191.145706,28,227.815817
-6.872917,3,228.672047
-359.704634,42,232.995064
-24.682621,5,233.97318
-8.367986,3,234.733426
-9.747066,5,235.631738
-99.144497,16,237.528625
-6.458783,2,238.21183
-18.588387,4,239.09734
-7.988423,3,239.930887
-18.685102,4,240.703935
-17.423187,5,241.662488
-22.695564,3,242.407812
-38.348169,5,243.249937
-130.300351,15,244.896877
-100.557778,12,246.21426
-75.322338,11,247.970927
-26.982537,5,248.834045
-80.730094,11,250.198048
-18.895929,4,251.140016
-16.749852,3,251.932915
-113.584291,13,253.315615
-69.273639,12,254.83325
-63.754876,8,255.943839
-15.94448,5,256.80072
-63.001351,10,257.956217
-3.095681,2,258.65052
-14.527847,10,259.81318
-5.907048,2,260.470037
-3.831273,2,261.138201
-187.639672,24,263.450545
-55.809655,9,265.158584
-51.480883,8,266.20552
-22.69851,6,267.176119
-86.932088,15,268.840916
-0.230451,2,269.534339
-27.093952,5,270.421898
-81.502737,12,271.736902
-6.175088,3,272.475533
-12.722202,4,273.294353
-5.030431,3,274.073126
-26.151101,5,275.072633
-36.182752,7,276.411908
-40.813336,6,277.280705
-1.704989,2,277.982214
-17.741343,5,278.911244
-15.945288,4,279.731381
-113.836377,15,281.606265
-9.994185,3,282.348862
-115.43955,14,283.966298
-183.254442,23,286.810581
-41.399652,6,287.763736
-69.429025,10,288.901412
-49.480412,7,290.183269
-83.211649,10,291.445579
-12.687953,3,292.261549
-201.339335,24,294.517006
-14.477366,4,295.344767
-48.435705,9,296.967592
-3.787392,3,297.715252
-5.780559,3,298.49361
-13.489903,5,299.351552
1.1901,2,300.061026
-97.004168,12,301.587637
-43.3368,7,302.571513
-85.942189,17,304.381666
-42.385778,5,305.216835
-11.667123,3,305.990214
-3.346785,2,306.696814
-27.376627,6,307.719082
-6.553734,3,308.451277
-4.710294,3,309.203919
-158.176921,18,310.952604
-49.778674,7,311.913547
-44.374255,8,313.066478
-275.660907,33,315.820074
-59.86819,9,317.067915
-7.94256,3,317.805759
-5.171865,3,318.522741
-22.563985,4,319.388813
-28.421706,4,320.315498
-11.566347,4,321.186923
-3.162745,2,321.932802
-35.225275,6,323.33949
-211.43211,38,326.691947
-43.937384,6,327.663679
-15.070276,5,328.537445
-14.761929,3,329.323507
-29.374782,5,330.149001
-16.144525,4,331.153649
-3.934879,3,331.935355
-121.527596,16,333.835588
-53.590281,8,335.023213
-55.414106,9,336.418469
-40.392416,5,337.244637
-22.337026,5,338.292969
-25.178279,4,339.110403
-10.198052,3,339.899838
-16.616273,4,340.737726
-10.84714,3,341.486958
-19.41158,3,342.219817
-8.872656,3,342.973492
-117.426772,18,345.589195
-0.947059,2,346.319862
-6.69605,3,347.083662
-53.058369,9,348.454538
-86.439964,14,349.808769
-4.819426,4,350.603208
-39.469435,6,351.462217
-6.026566,2,352.108985
-1.430752,2,352.782176
-24.530475,5,353.774392
-1.433669,2,354.450263
-4.209422,2,355.138016
-6.054199,2,355.794088
-10.331964,3,356.57185
-25.245958,5,357.515906
-14.480833,4,358.354362
-24.066461,4,359.148714
-15.961131,4,360.124213
-29.638709,5,361.0151
-192.858164,30,364.456469
-203.801847,25,366.949135
-28.874445,5,367.907329
-23.119971,5,368.850577
-5.284397,3,369.593217
-19.983383,4,370.428641
-63.043809,8,371.562235
-1.306307,2,372.247394
-4.455299,3,372.970503
-8.106054,3,373.712304
-18.440892,4,374.757046
-135.77941,17,376.669097
-9.638532,3,377.476461
-15.926708,4,378.303436
-18.69471,4,379.177841
-47.663835,7,380.118494
-6.403755,3,380.916239
-31.590038,6,382.133645
-2.942923,2,382.840356
-86.713466,15,384.701503
-4.72373,3,385.49047
-6.949297,2,386.22511
-5.319963,3,386.994694
-177.961392,23,390.246052
-18.434779,4,391.0697
-247.23251,29,394.091866
-166.975481,19,395.983664
-80.539139,11,397.296874
-2.652539,2,397.977228
-10.717533,3,398.771774
-12.079516,3,399.585362
-15.145557,2,400.251058
-4.521521,2,400.958117
-0.832111,2,401.641767
-9.423695,3,402.433901
-6.316923,3,403.199244
-61.995812,8,404.392258
-0.501985,2,405.07592
-12.487792,3,405.926505
-6.151118,3,406.673251
-1.222286,2,407.357588
-4.412365,2,408.020028
-20.844461,4,408.872875
-11.06781,3,409.634437
-78.579793,11,411.417926
-3.337865,2,412.085979
-32.080853,6,412.980498
0.378868,2,413.628698
-1.450532,2,414.316586
-4.08404,2,415.071018
-330.124994,38,419.931818
-3.798906,2,420.62709
-3.488712,2,421.362976
-10.128448,3,422.134535
0.884691,2,422.810631
-6.127522,3,423.639472
-15.96469,3,424.404041
-14.433997,3,425.159591
-54.017209,9,426.485481
-7.041885,3,427.230763
-12.810081,3,428.023043
-36.048404,14,429.781463
-31.531654,6,430.645956
-8.543085,3,431.4268
-0.395009,2,432.125303
-16.036168,4,433.023892
-81.742591,12,434.318727
-8.769509,3,435.129394
-10.50238,3,435.886144
-6.802227,3,436.731162
-18.173161,4,437.548378
-100.138685,18,439.724922
-3.818439,3,440.498105
-0.082174,2,441.177842
-4.738278,2,441.870262
-4.456433,2,442.602469
-2.200802,2,443.27774
-11.224004,3,444.136042
-3.690702,2,444.833003
-1.318944,2,445.510756
-17.063523,4,446.452408
-94.210518,13,448.432189
-5.983342,2,449.094419
-0.003427,2,449.729419
-13.12097,4,450.537593
-6.050766,3,451.365649
1.301479,2,452.013962
-4.420969,3,452.769089
-3.510524,3,453.60808
-5.577595,3,454.535621
-178.885156,21,456.907701
-14.637702,4,457.841933
-7.767929,3,458.659495
-1.737792,2,459.350402
-55.379102,7,460.726194
-5.818894,3,461.466408
-50.776875,8,462.541534
-5.027822,2,463.251177
-0.830648,2,463.941576
-17.764279,4,464.921618
-12.141302,3,465.764002
-4.538534,2,466.454342
-9.267324,3,467.252513
-8.358091,3,467.975214
-24.531309,4,468.801846
-3.840649,2,469.474427
-2.156747,2,470.126487
-14.94608,3,470.915713
-26.234421,5,471.824834
-9.358517,3,472.65761
-98.46235,13,474.647782
-7.687134,2,475.349246
-118.154855,15,476.901289
-19.816101,4,477.835646
-76.615794,11,479.710369
-22.449585,5,480.698754
-24.884126,5,481.559558
-51.313896,8,482.753482
-5.091918,3,483.474688
-79.899287,11,485.08003
-15.275808,4,485.911915
-0.438304,2,486.593803
-19.246407,4,487.459438
-100.079864,13,489.117472
-107.157078,14,491.082024
-2.97081,2,491.781667
-7.396387,3,492.53614
-1.493664,2,493.20487
-9.288887,3,493.9545
-13.241139,4,494.803419
-9.187281,3,495.548131
-0.916775,3,496.373558
-3.453175,3,497.198545
-10.7585,3,498.000021
-12.634262,4,498.896738
-14.725103,4,499.829771
-11.558921,3,500.552026
-10.826555,3,501.30582
-16.884305,4,502.089987
-2.361121,2,502.77618
-87.468824,12,504.22901
-11.701746,3,505.068131
-71.936951,10,506.577455
-3.076618,2,507.318794
-3.619201,2,508.007571
-96.039386,13,509.73831
-12.377148,3,510.605454
-63.863048,13,512.371329
-14.748365,4,513.295461
-5.398624,3,514.10382
-3.827831,2,514.834518
-140.96431,18,517.293514
-69.608675,15,519.352357
-8.599105,3,520.072233
-0.748202,2,520.721166
-12.741536,4,521.693995
-12.152473,3,522.455721
-0.758135,2,523.172005
-86.835399,12,524.412991
-9.733008,3,525.267308
-11.992654,3,526.002019
-3.14477,2,526.678645
-6.975806,2,527.355982
0.860618,2,528.044469
-0.500904,2,528.697611
-12.23219,3,529.491273
-8.933881,3,530.247514
-150.653397,18,532.080431
-9.418855,3,532.87392
-118.19815,15,535.054714
-12.309537,3,535.910757
-0.331919,3,536.752921
-24.322789,5,537.90221
-27.385644,6,539.004903
2.243273,4,539.952846
-0.00102,2,540.637037
-22.603765,5,541.530594
-84.042777,15,543.395953
-6.641913,2,544.101858
0.058256,2,544.876001
-207.161391,25,547.894839
-80.617914,11,549.427206
-46.070982,7,550.421878
-0.855395,2,551.126335
-42.20239,7,552.312759
-105.663879,14,554.073923
-4.318519,3,554.869897
0.622537,2,555.616137
-54.535745,9,556.810017
-14.954375,3,557.651271
-28.227906,5,558.532974
-0.365762,2,559.188535
-4.680474,3,559.934263
-35.564542,6,560.871529
-12.930994,6,561.899114
-43.644422,7,563.192785
-136.887734,18,565.194555
-11.080288,3,565.953402
-61.518082,11,567.931329
-24.960159,5,568.941749
-81.748489,11,570.381216
-18.530318,4,571.256567
-20.930893,4,572.068907
-3.961801,2,572.783436
-1.220072,2,573.461713
-2.915568,2,574.135267
-3.232752,2,574.81794
-7.722995,3,575.696457
-5.32207,3,576.49603
-82.69075,11,578.077446
-1.283997,2,578.755626
-3.18053,2,579.431091
-5.286039,2,580.137509
-9.360739,3,580.963321
-16.786677,4,581.810702
-24.121757,4,582.806967
-1.005975,2,583.485186
-54.32251,10,584.625256
-6.164314,3,585.413625
-5.602161,3,586.18154
-11.601008,3,586.958083
-32.862454,6,587.999001
-8.052776,2,588.715109
-8.869466,3,589.51783
-2.088708,2,590.258108
-13.493998,4,591.159023
-7.578588,4,592.150255
-44.906447,7,593.433982
-1.134821,2,594.121783
-8.310896,3,594.966413
-10.826872,3,595.755399
-0.350537,2,596.437399
-8.68514,3,597.2402
-3.53929,2,597.920143
-68.077206,10,599.2991
-3.046622,2,599.954106
-9.998179,3,600.704246
-1.723336,2,601.395667
-8.135937,2,602.140597
-40.121003,7,603.211579
-2.774277,2,603.900778
-63.716627,11,605.208205
-36.096371,6,606.367137
-36.740997,6,607.663642
-0.837742,2,608.40179
-19.752528,5,609.454583
-3.252365,2,610.149688
-20.172002,4,611.197517
-4.449479,2,611.914724
-42.747475,7,612.946079
-0.023373,2,613.656731
-10.706576,3,614.44871
-0.106358,2,615.154807
-18.942805,4,616.036865
-20.25167,5,616.981171
-3.252584,3,617.745762
-25.020934,4,618.651999
-33.158796,6,619.524392
-19.26079,4,620.507509
-0.401062,2,621.191038
-0.105593,2,621.881957
-10.032237,3,622.665323
-2.583759,3,623.425598
-96.959863,14,624.88507
-8.365159,3,625.643627
-70.306976,10,626.828809
-24.599571,6,627.925028
-11.89873,3,628.741315
-8.462032,3,629.536368
-114.855979,16,631.731963
-0.141158,2,632.410467
-20.273834,4,633.298194
-138.89424,19,635.26099
-5.196815,3,636.068894
-5.029461,3,636.829441
-16.196127,5,637.753109
-6.806336,2,638.465456
-7.823572,3,639.251084
-14.272353,4,640.156813
-1.137905,2,640.861438
-32.957501,8,642.078309
-5.361314,4,642.912295
-2.393823,2,643.636362
-21.663425,5,644.540282
-12.105336,3,645.43342
-22.928815,5,646.332854
-15.003196,3,647.1571
-59.829368,9,648.430121
-6.857674,2,649.15331
-103.294307,14,650.655904
-36.773433,7,651.703636
-16.158313,4,652.529351
-169.917417,23,654.735695
-6.782412,3,655.62153
-4.07332,2,656.383044
-28.349881,6,658.265413
-2.598579,3,659.139691
-8.983919,3,659.957785
-117.882348,32,662.810899
-40.11409,8,664.185199
-28.98431,6,665.13008
-10.773551,3,665.954683
-1.772249,3,666.676974
-6.955473,3,667.407696
-19.256904,4,668.293443
-7.318341,3,669.141284
-110.375693,16,670.600395
-112.167696,14,672.214895
-1.817706,2,672.93137
-6.564453,3,673.798694
-85.732557,10,675.014535
-107.492448,14,676.434253
-6.478249,2,677.198114
-7.946131,3,677.926489
-23.324412,5,678.800901
-0.60502,2,679.513714
-10.676769,3,680.279306
-6.004706,3,681.058986
-85.119414,11,682.530637
-195.638154,24,684.877178
-3.544812,2,685.582696
-2.46046,3,686.279747
-3.634776,3,687.055859
-158.46173,20,688.843058
-6.494856,2,689.50182
-71.801375,10,691.155104
-0.686228,2,691.861215
-7.536199,2,692.562418
-2.84911,2,693.258764
-131.951452,16,694.754595
-250.419259,32,697.415229
-1.22261,2,698.115434
-8.72339,3,698.919668
-143.104385,18,701.432441
-13.665809,3,702.305182
-7.032042,2,703.008988
-6.381582,3,703.926215
-5.497876,4,704.770269
-11.230476,3,705.59532
