#{"t_start": 1626699814.037848, "env_id": null}
r,l,t
-38.14466,33,3.676122
-594.930318,77,7.672664
-184.722597,24,9.553297
-312.89415,40,12.20566
-91.666705,14,13.434462
-92.123671,13,14.664733
-161.602744,24,16.358666
-337.114057,47,19.474014
-167.694718,23,21.197718
-363.837613,49,24.468324
-855.990862,106,30.353071
-69.755063,31,32.664922
-318.689683,41,35.395168
-277.953266,36,37.887687
-526.877114,69,41.915337
-154.25214,26,43.891772
-106.173855,20,45.480641
-327.587331,50,48.665829
-77.770283,17,50.153164
-568.139621,74,54.308384
-143.511898,24,56.128992
-46.348747,26,58.005306
-338.063137,43,60.761739
-360.418943,60,64.318125
-92.235626,21,66.100408
-77.156401,24,67.944249
-582.748001,76,72.654497
-258.690158,35,75.002703
-160.783126,25,76.81092
-61.913786,10,77.856151
-85.95186,15,79.206044
-61.082666,13,80.515558
-97.947185,24,82.34937
-384.114815,64,86.44524
-56.641292,21,88.15951
-107.18508,17,89.67122
-45.064774,14,91.026679
-255.296602,43,93.977308
-209.131901,39,96.521947
-80.30275,17,98.078689
-115.317056,19,99.623327
-235.182774,34,101.911877
15.213047,28,103.950697
-128.90927,44,106.995896
-163.649626,37,109.602456
-59.591109,17,111.105229
-200.073735,29,113.166205
-178.366571,28,115.26148
-23.528281,31,117.473137
-116.539389,34,119.949334
-63.501604,27,121.981994
-155.568933,28,124.130124
-46.974782,23,125.965118
-54.028889,27,128.185272
-70.377906,16,129.600435
-121.725312,24,131.495899
-31.670122,22,133.254833
-125.66561,26,135.169192
-65.172582,32,137.395275
-92.212614,21,139.113667
-75.0352,28,141.207485
-105.010186,17,142.658708
-46.53354,25,144.626755
0.50777,25,146.594768
50.708114,20,148.205981
-74.90575,16,149.567956
-62.573188,13,150.851314
-73.688081,19,152.470137
-99.480846,19,154.080647
-64.570031,26,156.097478
-87.18869,23,157.927465
-41.221642,15,159.313864
-60.699827,23,161.086786
-267.676097,44,163.991298
-78.651016,21,165.784223
-93.512246,21,167.523339
-121.783929,31,169.79109
30.888688,31,172.062822
-95.987485,51,175.581527
-7.304161,13,176.821609
-97.506619,27,178.806262
-57.518702,16,180.232872
-20.698753,11,181.422546
-106.75299,15,182.778933
-5.05223,16,184.17834
-59.278112,25,186.003491
-66.615106,29,188.153745
-81.436174,36,190.76999
-111.513797,31,193.110335
-112.524164,20,194.701638
-38.688793,29,196.878295
49.858387,21,198.66289
-41.55274,21,200.351065
-35.394673,6,201.215761
-72.647339,17,202.644168
-209.635085,47,205.557249
-67.292292,31,207.819459
-35.09427,24,209.633587
-41.698304,33,211.979517
