#{"t_start": 1627460618.4297595, "env_id": null}
r,l,t
26.270116,3,86.27776
1.645831,3,99.505797
0.003743,3,107.255576
18.161775,3,145.403233
41.146429,3,224.913761
0.832572,3,238.410526
0.601013,3,249.104973
1.052019,3,262.148539
22.740336,3,309.406085
1.247455,3,321.868142
0.581997,3,335.792269
27.099188,3,534.396038
25.663068,3,582.890001
0.029982,3,590.99537
0.162323,3,599.728123
22.819474,3,667.767281
20.88882,3,715.526791
1.153443,3,728.841748
0.034753,3,739.077789
0.148391,3,746.427336
0.352616,3,754.237214
21.574492,3,794.365778
17.021393,3,831.451102
15.812831,3,871.239689
44.632622,3,942.429642
15.859553,3,987.94331
0.312848,3,996.901658
30.504847,3,1042.676786
0.153323,3,1053.902663
37.829597,3,1119.064834
15.523126,3,1150.755235
0.653056,3,1161.790391
0.087368,3,1168.727802
12.185393,3,1212.793152
21.675303,3,1249.341993
