#{"t_start": 1627275264.902252, "env_id": null}
r,l,t
17.621738,3,35.205199
13.205816,3,64.275516
6.928363,3,83.933569
2.886955,3,96.896939
9.587774,3,119.037774
2.929894,3,138.924774
3.508565,3,153.084979
11.452855,3,176.243508
17.997557,3,208.705624
3.588685,3,222.97758
6.050323,3,239.785921
3.331346,3,257.292991
7.902746,3,277.044153
5.139086,3,296.11481
4.720672,3,312.380176
2.277148,3,324.348665
9.951906,3,347.529511
6.168221,3,365.409639
1.570334,3,380.408924
3.038886,3,397.67018
5.799151,3,414.347463
7.520874,3,434.689971
5.097147,3,456.115292
13.622229,3,483.804101
6.557982,3,503.469826
1.381017,3,515.29335
7.332256,3,533.578383
10.337574,3,555.507649
2.40055,3,573.646553
1.95248,3,586.344709
2.413009,3,608.58316
5.704591,3,636.782561
3.445727,3,649.4698
6.097376,3,666.051301
5.297747,3,682.437063
8.348342,3,706.024902
3.227746,3,719.764244
2.479332,3,732.232087
3.001645,3,745.041115
2.879397,3,758.453085
3.593887,3,777.42884
3.98372,3,791.596493
6.199446,3,816.14723
7.361017,3,835.607534
6.288119,3,857.755569
2.17652,3,871.145179
6.469448,3,895.40805
2.872855,3,914.770991
4.701773,3,930.764372
1.713325,3,944.162315
7.654894,3,964.7339
3.120494,3,979.127104
7.778586,3,998.259213
2.884535,3,1011.404509
10.693479,3,1041.056899
9.916907,3,1062.028904
6.263278,3,1078.668723
6.721972,3,1100.94742
6.851554,3,1119.502007
5.186436,3,1135.428899
11.143627,3,1156.358194
6.77851,3,1175.549463
10.649885,3,1200.354281
15.96389,3,1236.80319
8.738363,3,1257.157567
5.753476,3,1274.337574
8.214313,3,1293.288546
22.128468,3,1329.8127
2.941965,3,1345.561765
15.882438,3,1378.558888
10.865191,3,1402.585539
5.240768,3,1423.603513
7.74588,3,1444.322594
13.195165,3,1469.005066
4.206635,3,1484.666844
8.130411,3,1504.317966
3.489222,3,1517.611523
7.829485,3,1537.313706
5.755424,3,1554.567445
2.62915,3,1567.78644
1.32338,3,1579.0208
3.941435,3,1595.568667
8.816681,3,1619.263796
1.874333,3,1632.38222
5.648925,3,1647.895687
5.30344,3,1665.07493
6.039358,3,1687.464384
3.945572,3,1701.07228
1.671462,3,1712.992048
4.402268,3,1736.569616
5.634625,3,1752.957463
8.512691,3,1777.589743
2.191996,3,1791.354344
7.981991,3,1811.386124
0.980293,3,1822.248552
3.216465,3,1836.142423
0.501141,3,1848.97736
18.211647,3,1884.611921
0.982515,3,1895.973402
17.112613,3,1929.937381
6.956722,3,1948.99783
7.980982,3,1969.108858
8.094404,3,1994.598255
10.376549,3,2016.66071
3.060155,3,2043.893182
8.104784,3,2063.670908
7.585809,3,2086.234444
13.050637,3,2117.765739
5.090853,3,2136.69545
2.732806,3,2150.07257
18.797079,3,2182.610443
5.754634,3,2199.033522
0.939295,3,2215.099203
15.082284,3,2242.69175
1.592749,3,2255.679338
3.279468,3,2268.968119
6.831663,3,2287.903325
5.518935,3,2304.327868
1.87577,3,2322.434869
6.182022,3,2339.212072
2.496591,3,2353.429693
12.7765,3,2378.521139
9.588646,3,2401.573202
4.118061,3,2417.27358
5.320699,3,2435.08381
9.809076,3,2457.69752
10.281102,3,2479.651876
4.54664,3,2494.822141
10.387202,3,2520.114433
2.556898,3,2533.598567
3.209089,3,2548.906115
4.520635,3,2565.095464
10.079812,3,2587.887496
7.0906,3,2606.860161
10.124096,3,2628.912879
1.472543,3,2652.927481
4.584429,3,2669.40005
8.488264,3,2689.469416
8.580773,3,2708.550629
4.219923,3,2737.549377
14.187559,3,2769.931659
8.49681,3,2789.947433
13.898838,3,2819.49294
1.331036,3,2856.307702
9.812961,3,2879.580275
11.923877,3,2905.230116
1.464504,3,2916.528511
23.887594,3,2959.356462
0.759624,3,2969.969147
7.513144,3,2989.900454
6.74206,3,3010.575801
3.082227,3,3025.526686
0.82768,3,3036.262172
3.808181,3,3050.582766
4.695729,3,3067.103456
7.844113,3,3089.932521
4.185799,3,3105.411836
3.729452,3,3120.202367
3.885,3,3133.702798
3.709012,3,3147.507796
15.067159,3,3175.247804
0.639165,3,3184.659576
9.522076,3,3206.925657
14.82834,3,3239.487228
20.621577,3,3280.425747
24.27387,3,3318.117588
10.8045,3,3339.961845
15.936031,3,3368.912632
2.527498,3,3381.220649
3.955143,3,3395.112227
12.445326,3,3420.593351
3.657713,3,3434.316976
5.564477,3,3450.359094
28.476208,3,3494.509324
9.442508,3,3516.064826
3.286483,3,3531.951771
5.173708,3,3546.89114
1.068285,3,3558.586126
1.103633,3,3569.375066
5.385281,3,3586.20017
20.618017,3,3621.28087
0.950692,3,3632.114067
9.508023,3,3655.433193
4.36865,3,3672.341339
6.307012,3,3692.096283
2.552111,3,3730.588259
15.338361,3,3759.33128
4.409835,3,3775.191324
7.95999,3,3794.351373
4.962971,3,3810.882531
3.853854,3,3826.37537
4.318239,3,3850.463585
8.387708,3,3872.087233
24.825187,3,3916.806385
12.611749,3,3941.74415
5.63929,3,3958.19428
5.056817,3,3974.70912
28.136651,3,4018.183749
1.569919,3,4030.403371
5.724326,3,4047.919997
4.386093,3,4063.138947
5.169477,3,4077.3682
5.183535,3,4092.379334
6.403489,3,4111.885393
4.895809,3,4127.972081
12.455488,3,4156.208933
4.928152,3,4172.196677
13.737973,3,4198.148905
4.115318,3,4215.305312
