#{"t_start": 1626411959.383846, "env_id": null}
r,l,t
-476.956527,57,4.266465
-365.627378,44,6.372029
-49.597661,46,9.037197
-272.344093,33,10.984138
-317.678318,44,13.463871
-122.511199,20,14.733099
-449.132987,71,18.982887
-173.307394,28,20.71796
-178.974292,34,22.716975
-381.15639,49,25.439634
-332.676768,56,28.684999
-201.875838,43,31.245243
-88.730253,31,33.182708
-191.976457,31,35.131814
-169.27331,43,37.759107
-157.397073,33,39.952244
-231.180358,32,42.013119
-772.287326,113,49.180412
-345.843959,60,52.803227
12.633286,32,54.937837
-376.137845,74,59.666775
-650.978212,95,65.541956
-90.791817,37,67.821425
-998.092249,145,77.072251
-62.44552,42,79.577672
-134.347695,35,81.889966
-232.374707,47,84.841657
-343.402219,57,88.1087
-202.968984,65,92.122678
-38.047747,31,94.062873
-264.560294,58,97.664806
-47.449134,25,99.295459
-58.820641,53,102.558452
-120.592324,33,104.642516
-187.555725,45,107.452491
-529.766186,111,114.365704
-240.145475,75,118.815203
-77.780061,37,121.089473
-148.801105,38,123.364927
-82.707763,49,126.311011
-481.693255,86,131.309513
-182.461239,47,134.118903
-101.27607,48,136.968708
-204.069759,54,140.112006
-323.057412,76,144.758049
-108.804339,58,148.20214
-615.998577,114,155.197917
-1990.448629,294,172.369222
-616.005833,115,179.367308
-248.061312,64,183.294459
-294.784343,76,187.905962
-23.243415,43,190.614183
-19.103151,58,194.19475
-123.558857,67,198.124465
-502.860172,102,204.241413
-238.286985,69,208.534994
-251.103919,68,212.711776
-110.479717,72,216.947454
-110.589149,42,219.473499
-104.137109,74,224.04967
-130.1134,77,228.613532
-107.499018,45,231.188376
-300.474662,114,237.927114
-632.138587,103,244.056472
-384.443411,93,249.57053
-40.717349,60,253.190027
-120.891178,64,257.363265
12.641735,67,261.329013
-91.187528,75,265.928686
-111.222702,73,270.48633
-482.653063,143,279.249337
-165.331762,71,283.670497
-381.049842,115,290.678374
-25.101166,99,296.772194
-296.890617,118,304.135889
-36.377884,91,309.777391
-131.591731,96,315.533892
28.935188,70,319.941128
-17.694932,54,323.333603
189.161411,68,327.433115
179.473022,77,332.3735
-30.14632,60,336.150737
-183.564113,61,339.949073
116.788381,75,344.546459
-158.304337,60,348.223217
92.608026,61,352.061453
102.938544,98,358.309055
-22.419412,67,362.46153
292.861105,88,367.962454
-222.935111,90,373.192122
-166.915977,74,377.572259
46.964066,53,380.686036
-24.249009,110,387.306414
-40.14217,76,391.868418
-1047.701882,187,402.503032
90.8871,72,406.750645
71.067416,99,412.717084
-104.381096,81,417.650157
-288.791558,122,424.662039
83.061062,82,429.637315
-97.410125,81,434.481637
-152.671716,110,441.034612
-17.454153,80,445.894964
66.793237,117,452.985404
21.54179,92,458.474475
152.408299,71,462.784783
-232.748206,86,467.623507
-717.952333,156,476.290178
211.736257,84,481.358828
-237.897625,108,487.745985
2.713167,57,491.164746
196.154461,104,497.348603
18.601371,65,501.287771
9.900515,55,504.618203
-30.796306,47,507.438418
89.446944,100,513.475706
108.782398,113,520.213491
-25.333084,79,524.957702
132.607927,66,528.964621
14.694053,75,533.624216
144.30568,124,541.218413
228.100653,152,550.388267
102.196027,124,557.719876
3.416114,86,562.839513
146.661828,125,570.420442
221.19726,129,578.132977
-0.07083,57,581.691997
219.946453,129,589.390948
52.947153,127,596.955698
140.064063,92,602.644944
-824.117293,202,614.928625
168.322443,109,621.520033
-7.111924,160,630.95043
330.080647,161,640.660393
-99.158139,55,644.095376
136.229966,68,648.30781
260.649215,150,657.541409
106.017746,70,661.744241
-164.554005,79,666.652631
-104.577987,170,677.038054
207.586976,69,681.292146
227.536274,93,687.032984
346.980961,145,695.850894
52.445549,108,702.500801
66.510449,57,706.050935
4.174816,35,708.386656
174.431138,111,715.107396
-285.377544,100,721.182396
40.572573,140,729.498138
123.966811,128,737.11095
-124.279806,57,740.638385
84.694948,66,744.743973
164.622937,159,754.300835
222.338618,129,761.800337
25.059234,51,764.97999
-120.480699,38,767.328218
191.696636,112,773.818791
-129.490729,34,775.893664
83.406143,62,779.723058
98.815871,79,784.516484
221.405314,181,795.709993
41.011115,131,803.772768
-348.790629,208,815.821314
467.249267,207,828.124541
184.587523,201,839.841545
106.643066,110,846.613143
-157.001408,74,850.983602
40.27283,134,858.814987
111.904299,196,870.309893
47.079536,203,882.842826
-72.388947,117,889.803867
148.750647,84,894.872207
240.152899,138,902.936512
199.23208,155,912.491153
-83.134093,144,921.397716
47.247828,133,929.302405
796.755394,211,941.388999
69.259257,161,950.669561
97.867381,189,961.615939
174.252697,209,973.809815
267.881582,133,981.799752
33.47073,207,994.00994
1070.958068,220,1007.537109
-21.6548,166,1017.341365
188.833825,120,1024.939502
201.885403,190,1036.023091
190.128937,168,1045.769636
178.972707,316,1065.137769
625.051386,220,1078.909035
187.196511,126,1086.580709
-69.598006,203,1098.758552
966.169718,132,1106.523857
463.641452,286,1123.381397
164.518596,213,1136.176974
376.24254,218,1148.668152
225.591896,209,1160.817909
348.137785,321,1180.790881
33.757452,74,1185.154356
513.713099,225,1198.436984
-172.982735,167,1208.232954
125.182823,98,1213.984229
236.461474,121,1221.288051
31.575522,93,1226.850831
209.641198,115,1233.805022
503.390932,291,1251.180923
553.984514,267,1267.067043
-662.958895,241,1281.926044
180.712632,110,1288.476209
43.239615,108,1294.803271
-257.90962,256,1310.196135
171.873183,184,1320.970259
64.259626,86,1326.128175
154.080994,244,1340.796012
459.060795,190,1352.501709
486.25263,225,1365.564442
433.766522,138,1373.663382
474.523547,253,1388.586445
-80.696503,163,1397.829725
301.773794,269,1413.778037
725.405432,304,1432.693717
406.27244,239,1447.0491
364.623037,208,1459.981643
907.65861,363,1482.141248
507.966874,270,1498.37981
-21.896818,187,1509.478302
132.421438,112,1516.035276
640.057701,282,1533.154114
461.452639,258,1548.854399
379.320032,198,1561.129091
709.127372,225,1574.436345
342.86838,171,1584.31907
846.531811,294,1602.453455
526.634568,252,1617.771706
201.061804,211,1630.176679
143.766192,121,1637.26828
492.655689,199,1649.160514
114.266327,176,1659.462925
705.457141,297,1677.34573
485.407649,257,1693.02316
298.393866,192,1704.503379
1008.121813,362,1726.869814
26.48019,166,1736.507034
268.1327,131,1744.267576
455.144238,204,1756.402593
485.20702,212,1768.780838
750.358397,235,1783.204647
846.506324,352,1805.252187
361.835041,180,1815.88737
84.131604,122,1823.029234
132.532385,221,1836.301154
9.470155,201,1848.069456
1088.819965,192,1859.577775
505.66464,222,1873.207383
136.176681,144,1881.694849
222.950371,172,1892.079961
465.673954,218,1905.604909
635.039778,244,1920.27765
543.414704,242,1934.754174
622.638192,291,1952.283094
60.376868,115,1959.427769
-139.859059,150,1968.202609
194.713593,187,1979.506537
260.944275,124,1986.914109
301.184506,171,1997.1262
638.403139,281,2014.378763
1237.441578,537,2047.051452
1554.902771,387,2070.583468
990.564919,251,2085.980134
955.415738,421,2111.454435
541.010316,211,2124.077645
529.681964,312,2142.949603
255.132291,120,2150.274581
394.056991,190,2161.503628
971.222935,408,2185.648721
791.953748,324,2204.925023
504.551889,146,2213.482627
109.810764,81,2218.483715
439.45911,171,2228.562546
297.062748,448,2256.828492
582.167134,305,2275.240169
133.569177,90,2280.654047
-216.858915,362,2302.349747
406.677561,405,2326.350935
1421.958343,249,2341.527169
523.444005,234,2355.899908
1475.901584,488,2386.863143
503.01027,271,2402.961669
411.03588,192,2414.520884
332.270845,155,2423.911926
379.77173,171,2434.259818
347.219791,214,2447.363712
1073.285881,460,2475.534835
-1406.066945,256,2491.568205
-670.234992,106,2498.295673
864.024123,365,2520.300529
240.342028,127,2527.86003
775.269704,343,2548.458874
521.587867,262,2564.495249
639.429024,283,2581.67029
480.183384,397,2605.7573
735.205903,321,2625.329811
1222.175874,358,2647.556125
1067.587016,202,2659.613711
940.881161,372,2682.092329
840.161844,353,2702.679814
816.248147,365,2725.128104
854.283928,408,2750.334901
132.55287,285,2767.461021
847.087213,329,2787.594369
700.740816,358,2809.029245
309.568879,148,2818.03573
410.020157,167,2828.284066
541.366179,165,2838.370324
721.961084,482,2867.622561
725.729032,325,2886.828572
783.871629,297,2904.780102
1693.526858,571,2939.793603
254.098065,198,2951.578595
204.628389,155,2960.546448
333.362905,164,2970.459313
783.904646,328,2990.48155
224.908537,346,3011.190844
560.328268,250,3026.311913
479.970268,279,3043.514936
1056.917997,474,3071.020642
1130.968642,489,3101.21372
405.842946,197,3113.041178
416.288881,212,3126.011132
638.754974,289,3143.148022
461.471891,235,3156.858208
781.913315,328,3176.590704
656.622827,246,3191.251469
-76.917598,30,3193.152994
468.38385,269,3209.492429
176.720703,466,3237.672462
185.872194,104,3244.121188
-67.11333,30,3245.977031
353.011938,159,3255.373958
100.984548,311,3273.410497
485.588123,251,3288.775593
701.776917,364,3309.77609
1345.368038,411,3334.660814
572.316707,283,3351.613094
270.136513,219,3365.151926
1128.283272,371,3388.166664
-559.480877,306,3405.777109
78.868105,618,3443.023188
238.953937,152,3452.019592
-304.379782,332,3472.09706
-1788.455905,813,3520.148155
1230.884739,498,3549.293471
652.393372,299,3566.466677
510.349237,340,3586.277747
104.082797,432,3613.614314
-1107.33114,406,3638.097888
-1820.381904,758,3684.752779
467.058136,202,3697.206445
1089.331417,524,3728.783819
394.923322,409,3752.791621
284.302386,252,3767.868975
1236.283645,524,3799.205161
1055.179586,376,3822.792075
638.859296,285,3839.853749
68.031246,102,3846.014636
48.168172,125,3853.233236
794.032068,400,3877.28095
915.574696,349,3899.222943
779.875621,350,3921.718969
971.090166,394,3946.392586
-80.512604,58,3949.94301
508.819669,277,3966.72788
769.756892,153,3976.598039
1130.795861,440,4004.127691
1059.718251,537,4037.12265
524.832407,287,4054.638714
744.75649,322,4074.745099
310.992915,186,4085.624704
565.908129,332,4106.057442
1456.499574,349,4127.287172
-0.04069,207,4140.810812
1181.213153,378,4164.225751
-57.091037,78,4168.965096
904.201637,308,4187.628653
762.424618,399,4211.216015
1228.715344,262,4227.660504
819.00022,227,4241.420614
506.807029,225,4254.843393
839.65125,397,4278.568318
-172.841332,196,4290.394822
881.27942,348,4311.270499
241.66291,244,4325.707781
895.378723,401,4350.449946
940.867915,634,4389.012109
765.460637,417,4414.929405
230.560637,168,4425.51962
1014.152322,403,4450.193526
1519.445017,383,4474.36623
687.567281,530,4507.344468
843.578412,393,4531.947187
324.219145,314,4551.705837
-219.422391,89,4557.046717
-127.392591,55,4560.352255
-333.537193,421,4586.3865
10.066661,253,4602.287784
554.145979,283,4619.376649
296.092241,144,4627.774927
-435.427611,496,4657.786773
387.568694,678,4700.306088
472.644943,293,4718.22502
1117.777347,382,4741.230225
628.680345,259,4757.614268
1002.199831,482,4785.809013
794.595814,345,4807.218081
522.757317,330,4827.472051
473.836087,324,4846.762241
875.171704,333,4866.78458
776.977816,333,4887.204044
735.477648,373,4909.754554
666.788099,311,4927.873704
924.007457,333,4947.693746
301.465352,180,4958.080506
853.907256,343,4979.795284
512.410404,259,4995.739732
661.052462,360,5017.548725
883.857385,402,5041.596628
-706.484185,570,5077.614221
560.219125,229,5091.42837
-116.674118,425,5117.766704
906.60469,321,5137.012434
802.89428,634,5177.535528
466.625157,207,5190.337491
314.712424,240,5205.073833
473.746251,276,5222.076478
674.441697,427,5248.199283
-284.254866,581,5284.489334
125.21405,371,5307.691005
1594.968261,748,5352.999633
630.081262,418,5377.983356
322.062957,209,5390.137948
303.770253,156,5399.022195
149.19108,134,5406.594077
703.385657,450,5434.44472
774.78229,324,5454.533876
992.874117,404,5479.63026
282.403684,428,5505.837074
942.166067,477,5536.055798
478.772772,214,5548.416109
230.73135,328,5567.950309
232.690645,206,5580.37542
239.359656,114,5587.953766
-111.711236,108,5594.33992
108.048898,178,5604.388378
-1794.009025,424,5631.613931
1456.869486,344,5652.859561
647.844793,280,5669.942237
938.09338,390,5693.162224
-773.367382,202,5706.223781
13.96807,46,5709.081144
1316.128396,520,5741.393806
642.975254,560,5775.739301
340.374597,343,5796.816806
-241.735487,302,5815.31626
570.303555,285,5832.724546
-81.833805,182,5843.632743
826.102338,478,5870.865222
1290.133374,545,5902.656149
655.582887,359,5925.097826
913.159712,375,5948.400563
-454.8512,499,5978.600147
-560.468096,411,6005.807288
853.441885,404,6031.244191
721.73388,308,6050.616231
-489.521902,134,6058.403301
70.803194,141,6066.744502
-228.335657,85,6071.665093
-13.204937,49,6074.654633
626.194798,302,6093.200947
-380.242076,351,6113.654519
508.226691,295,6131.16123
-82.974645,172,6141.029662
847.263837,453,6168.296925
1594.70805,305,6187.964535
777.21325,408,6212.485979
498.565146,263,6228.336334
655.685223,263,6244.574449
