#{"t_start": 1623684081.5988045, "env_id": null}
r,l,t
-202.706586,9,2.077946
-250.899882,10,2.63375
-36.697129,3,2.881052
-222.584072,14,3.550535
-153.320165,12,4.192404
-49.308093,4,4.488166
-83.768853,8,4.962584
-172.154863,13,5.611833
-176.977202,13,6.275547
-92.796262,10,6.843845
-231.038503,13,7.592109
-341.416774,22,8.858471
-306.300705,22,10.12791
-279.348984,19,11.251811
-27.0438,11,11.929856
-82.980822,8,12.444101
-87.28808,11,13.099519
-70.126581,6,13.50833
-67.881245,14,14.336941
-16.615361,10,14.957089
-89.83916,15,15.845551
-2.206681,6,16.264757
-17.550764,8,16.769439
-52.874065,10,17.388256
-35.624939,10,18.00016
8.133529,12,18.745798
-66.136076,8,19.266982
56.803863,12,20.035845
39.053937,6,20.460566
1.646278,7,20.965317
-34.048831,6,21.40437
-7.141725,8,21.915212
-16.168067,6,22.35444
28.268045,14,23.270425
7.352542,6,23.702003
26.984212,12,24.460906
-68.715601,11,25.143895
-18.944449,6,25.565832
21.618511,14,26.436435
9.279334,14,27.304124
-16.017377,13,28.13932
-69.719014,8,28.672485
2.490319,11,29.393297
-24.779469,8,29.910322
-25.962844,9,30.480304
-198.199406,10,31.10722
6.536695,10,31.752136
-25.57116,7,32.233029
62.197362,11,32.918217
37.395633,10,33.56566
-183.52772,15,34.462844
-13.632595,10,35.139777
-29.039956,11,35.829045
-70.338596,14,36.682919
15.791596,10,37.341145
-99.289732,11,38.047815
-7.666086,10,38.712039
-40.867065,9,39.296776
-255.5695,14,40.13899
20.316657,13,40.957109
-162.743783,9,41.543459
99.509214,9,42.148489
-56.362096,11,42.834693
-91.228499,11,43.532554
-61.781819,10,44.181713
36.563573,14,45.071881
-22.021369,13,45.945168
0.833618,11,46.653027
39.048088,10,47.310329
-127.847617,10,47.954133
-17.715747,9,48.546171
-20.966419,13,49.371571
48.887009,10,50.029842
-24.547899,9,50.625355
11.458007,13,51.459761
62.180458,9,52.046696
28.499222,11,52.750566
-78.163536,11,53.468936
42.63508,9,54.070073
-149.835114,8,54.635271
88.750861,11,55.352477
-58.415388,8,55.878221
-109.717877,7,56.34963
-155.551001,10,56.989359
29.532986,8,57.544921
74.165337,11,58.275356
-155.095782,10,58.931433
6.795692,11,59.641161
-43.142729,14,60.501735
-21.474186,10,61.190359
-23.592539,14,62.082809
-52.707554,14,62.926739
47.03435,11,63.637659
-109.876827,10,64.298358
57.252683,11,65.060936
31.888757,9,65.681498
-6.922913,12,66.455359
31.476971,9,67.063724
-48.573487,7,67.566962
60.015204,12,68.332974
97.934154,14,69.209284
72.916988,10,69.878248
74.234817,10,70.527014
65.760132,10,71.219609
-96.054125,9,71.818599
-40.432906,9,72.400052
-50.112284,10,73.045794
55.593863,8,73.60521
35.00142,9,74.199331
-7.629628,9,74.796554
-24.530575,8,75.34447
27.618984,11,76.029706
-30.264959,9,76.639719
-46.160776,9,77.222031
-37.624192,11,77.924021
131.174754,13,78.751425
41.781795,12,79.55566
-188.212215,14,80.455221
-298.128612,19,81.575707
-19.823957,12,82.33952
4.459355,17,83.40885
45.146512,10,84.049678
-2.279307,14,84.934781
59.285622,13,85.7537
-198.474021,14,86.647501
39.90354,14,87.542923
106.514101,17,88.588632
123.693277,15,89.533432
-182.375871,17,90.603696
-37.532337,11,91.323047
20.300949,20,92.537761
-69.087183,18,93.667053
-258.493978,27,95.262752
-34.467831,13,96.105547
-181.546059,15,97.031849
23.203716,13,97.879061
-25.730692,11,98.621808
-240.244352,27,100.28226
-5.769051,13,101.104265
-64.258122,10,101.796795
-43.674361,12,102.570096
-146.30002,18,103.67978
-34.397981,12,104.481222
23.667476,7,104.985337
5.846823,31,106.831198
-28.097085,18,108.010854
-59.844619,13,108.839983
-184.972668,20,110.039527
-127.749622,18,111.143816
-63.646141,26,112.714036
-5.513889,11,113.448478
-78.435673,14,114.337723
-295.231355,13,115.146815
-96.118673,16,116.169062
-96.244064,30,118.028631
115.598919,17,119.026058
12.05942,12,119.788516
37.795023,15,120.738091
40.156011,24,122.20319
-74.737857,16,123.232369
23.148297,21,124.505552
-234.456516,33,126.465077
-276.747554,17,127.415612
50.407674,18,128.565937
-118.869591,12,129.345222
140.07875,25,130.912902
-153.467294,13,131.7428
-97.114538,12,132.528654
473.569231,22,133.93345
73.750407,31,135.895593
73.824875,21,137.193532
73.293337,15,138.132181
26.337561,24,139.60611
51.273747,16,140.606895
-19.694803,19,141.801663
48.444946,22,143.167098
31.197882,17,144.271949
105.460168,13,145.060767
-55.467099,10,145.693976
163.072675,21,147.025801
-160.40455,15,147.972401
-121.100107,25,149.517354
45.44962,18,150.616721
-51.446092,53,153.793441
-109.535182,21,155.067414
-1.200238,16,156.092628
-153.804296,20,157.336374
19.451356,19,158.50597
144.816438,40,160.866683
-109.095928,44,163.463114
62.547523,10,164.142273
89.686862,27,165.716948
66.398685,29,167.514153
61.796745,22,168.887162
-5.056958,15,169.823368
-129.384915,14,170.716958
126.469909,17,171.736261
-100.696586,38,173.987162
4.255256,13,174.81576
-285.235719,19,175.975164
-8.669293,14,176.864361
155.228234,16,177.872246
23.083769,17,178.942751
72.155012,21,180.260497
100.684604,12,180.994614
97.89225,13,181.802588
-63.106148,15,182.7135
-24.139098,16,183.697362
-85.437228,19,184.830858
74.262817,9,185.414729
45.918573,16,186.394659
-51.457416,12,187.151263
-13.090429,19,188.295367
138.933369,16,189.265241
59.143612,18,190.364179
43.961991,15,191.280697
-209.660085,16,192.26847
133.093415,12,193.029834
13.849335,18,194.131411
-4.937351,12,194.887545
94.897451,13,195.741389
82.861883,49,198.68706
-10.858923,13,199.520397
95.750296,15,200.469426
-40.587094,14,201.356377
354.927919,22,202.671637
2.665076,13,203.478859
-150.342394,23,204.77782
55.317752,13,205.604463
-98.794121,13,206.442852
45.440308,14,207.329964
67.705781,17,208.400678
75.817345,12,209.157438
-22.489866,14,210.038502
42.118385,17,211.109945
70.089784,13,211.952869
-3.049023,17,213.000001
168.86336,20,214.188226
38.939126,13,215.018541
219.234155,12,215.768013
-148.872847,16,216.71687
14.751143,15,217.634654
-100.330386,19,218.720743
-6.948112,16,219.690614
86.533097,16,220.636053
-47.03634,13,221.436405
-34.827546,11,222.12643
-8.759033,22,223.408397
138.989256,14,224.240623
-12.845345,18,225.250722
-210.550697,16,226.237917
-96.183743,16,227.168625
41.153874,13,227.96513
40.059346,15,228.868167
-84.064077,16,229.80511
73.516973,9,230.36445
18.078244,15,231.261832
100.832598,20,232.450433
-34.156319,17,233.47922
24.003944,14,234.35274
-74.469912,13,235.116973
166.109663,16,236.104925
119.671845,11,236.784597
77.036042,14,237.645306
-39.237154,14,238.487582
15.383404,14,239.292335
83.605044,10,239.926843
24.39089,11,240.587767
-88.4183,13,241.392157
163.774932,13,242.186572
20.793813,15,243.141318
103.80019,10,243.797393
149.919033,11,244.487709
119.582879,21,245.751559
77.439375,15,246.682418
130.274763,15,247.606249
119.454222,11,248.297601
-84.723289,11,249.009503
101.293182,9,249.592348
-54.071242,11,250.302599
45.353323,13,251.119318
41.635017,13,251.945297
129.514889,14,252.830252
48.389072,13,253.660025
49.032951,24,255.03187
-100.13508,15,255.954035
102.792974,12,256.723801
26.888041,18,257.81501
194.116545,17,258.853595
29.114699,11,259.545026
35.670616,14,260.416239
91.438909,10,261.053459
-41.609123,15,261.941353
150.949416,20,263.163075
82.202918,11,263.852695
105.358115,13,264.641952
91.117302,15,265.583522
-21.483731,13,266.39476
-90.094292,23,267.798935
1.958795,18,268.905814
78.414636,11,269.597305
135.819908,19,270.707329
58.780533,13,271.5285
119.421333,13,272.345507
127.845839,14,273.227248
92.647626,16,274.220048
-76.233897,18,275.346728
121.378241,13,276.17654
53.328836,11,276.890237
121.249102,21,278.081283
16.714976,17,279.124195
-81.960826,16,280.097425
70.829322,17,281.109924
51.014593,14,281.978527
137.566757,21,283.21266
73.166653,23,284.565179
8.046574,15,285.495199
-23.639457,18,286.612562
-13.646418,23,287.935159
79.245646,17,288.981002
8.36203,20,290.156823
123.983723,11,290.86726
60.623108,11,291.588351
-81.902632,22,292.840357
15.876624,10,293.493519
57.955221,11,294.216048
49.252833,8,294.765611
66.440835,10,295.414786
-73.290323,23,296.784357
88.874783,20,298.037103
112.587592,11,298.757594
30.094274,11,299.475282
83.865861,15,300.420339
62.489303,15,301.377995
69.394709,10,302.024114
142.62895,15,302.981709
23.76057,29,304.689124
101.374458,10,305.344538
112.183062,13,306.172361
67.167918,16,307.144589
80.510196,17,308.189548
137.122325,11,308.93813
-58.542108,15,309.854422
-23.451478,9,310.451453
125.886552,10,311.098525
-29.207358,15,312.019414
111.178483,18,313.142079
60.533156,16,314.11158
101.121781,10,314.78372
118.379699,20,316.021389
55.265791,20,317.194011
16.194265,14,318.089003
8.823022,10,318.769602
44.007541,14,319.622087
126.444075,10,320.276444
-86.197051,14,321.174178
11.51255,22,322.480137
-69.520182,12,323.262152
179.729831,12,324.041645
119.882582,19,325.21709
57.047599,10,325.868677
-12.966689,35,328.021869
62.045134,19,329.146701
-57.190255,16,330.170797
-42.242947,13,331.014555
180.25358,12,331.787692
-223.887396,12,332.553022
100.017997,11,333.306296
147.246191,17,334.404109
94.016386,18,335.540286
96.301146,18,336.690511
98.300595,16,337.737625
136.607791,13,338.57266
141.404194,13,339.43897
120.223119,11,340.175049
130.300377,11,340.925267
167.783611,31,342.827841
156.233424,14,343.732518
59.281876,12,344.514682
59.982099,21,345.818151
160.790213,11,346.54877
133.538719,10,347.218766
-2.491955,12,347.97911
96.778719,11,348.71144
154.513277,13,349.528476
115.785765,20,350.724325
-19.147278,17,351.760997
65.768421,19,352.950762
116.034687,11,353.685643
109.984825,13,354.526362
-5.984301,21,355.82774
102.676222,11,356.557227
92.586422,23,358.029357
158.321941,12,358.813224
120.086664,9,359.431339
-27.490119,16,360.445132
147.773799,15,361.388188
65.278607,11,362.122016
115.535137,12,362.904686
-21.720535,19,364.121912
21.636042,34,366.1859
115.876016,11,366.91583
132.225408,13,367.742711
5.347779,17,368.796993
100.156368,12,369.575683
146.928709,23,371.027338
130.595905,17,372.105511
105.454334,24,373.559834
-5.079814,14,374.441525
164.944305,17,375.458497
28.231695,27,377.125612
45.215898,12,377.903801
-141.404999,33,379.834067
-37.570273,12,380.644121
-32.12942,22,381.967651
115.512128,12,382.729012
151.527654,13,383.56521
5.114166,16,384.539016
110.285089,15,385.48483
64.33191,26,387.066834
94.664096,10,387.734859
16.459123,24,389.18068
45.598839,19,390.367082
70.430115,26,392.04176
118.959112,14,392.922022
92.338374,12,393.689115
189.986417,20,394.86413
87.693444,32,396.796935
130.440685,16,397.795975
94.028002,33,399.759839
-88.510375,14,400.661909
142.8234,23,402.06713
