#{"t_start": 1626354433.356354, "env_id": null}
r,l,t
-428.945896,50,4.028757
-850.851813,97,9.127157
-340.162106,41,11.538279
-272.703103,37,13.779313
-368.933594,47,16.456892
-135.595483,21,17.799932
-309.538113,39,20.166423
-204.493944,30,21.969501
-159.064108,23,23.39151
-119.218697,31,25.321803
-126.734903,24,26.808363
-146.109592,24,28.268031
-103.052931,22,29.656057
-225.320461,44,32.29442
-115.466635,23,33.760461
-152.512532,25,35.220968
-161.599283,23,36.668038
-175.670389,23,38.076588
-106.251903,30,39.944526
-169.125149,23,41.449923
-175.451165,30,43.243057
-86.653663,21,44.659697
-69.591069,21,45.995961
-183.013117,28,47.799381
-390.234816,51,50.874623
-169.5365,36,53.076793
-58.857349,18,54.243243
-211.750003,44,56.794702
-192.814947,27,58.422089
-210.37419,44,61.017425
-101.241176,18,62.241428
-158.345044,32,64.138092
-329.769195,55,67.31392
-175.030127,31,69.227609
-194.881541,36,71.364395
-337.10875,57,74.46767
-320.727579,56,77.741818
-218.998521,41,80.125362
-244.624367,38,82.344712
-116.597717,37,84.567277
-240.956778,45,87.185034
-131.816746,32,89.040283
-296.841671,66,92.749097
-90.045684,22,94.117401
-259.322993,45,96.655473
-129.869891,29,98.446413
-197.516216,49,101.289592
-158.243865,39,103.614959
-151.870106,36,105.786807
-113.406471,25,107.379144
-113.534514,39,109.670003
-154.284206,33,111.639013
-416.576715,64,115.323048
-235.173843,47,118.052565
-232.053029,47,120.798514
-130.35291,56,123.986448
-194.937917,44,126.52593
-152.928241,62,130.0983
-100.294011,30,131.904405
-214.924585,44,134.510667
-88.698771,43,137.006237
-64.172397,50,139.885419
-110.632314,46,142.631985
20.575523,49,145.523038
-103.549903,37,147.769399
-280.879663,49,150.55552
-105.526311,46,153.327713
-202.142541,53,156.411907
-207.337017,52,159.460251
-26.197008,56,162.750135
-57.870789,64,166.530133
-179.290257,54,169.686356
-224.890212,58,173.040195
-39.865751,63,176.689359
-131.446264,43,179.112756
33.194374,44,181.820343
-114.663045,50,184.74002
-41.395368,53,187.942991
70.084963,49,190.840456
103235.809152,51,193.859982
-70.290382,8,194.424559
-69.457,8,194.989404
-58.046362,7,195.544654
-61.667546,7,196.108085
-63.278754,7,196.639046
-62.317383,7,197.163654
-61.606088,7,197.714894
-73.327663,8,198.300643
-59.954134,7,198.834177
-74.843526,8,199.401181
-50.898816,6,199.881298
-56.29496,6,200.355783
-57.604864,7,200.873249
-63.434717,8,201.445331
-62.737642,7,201.977173
-67.544944,7,202.511007
-59.901986,7,203.038625
-54.362711,6,203.50418
-52.007351,6,203.981757
-58.152327,7,204.514156
-64.628972,7,205.043499
-47.82779,6,205.529435
-51.255107,6,206.012897
-49.778861,6,206.51002
-51.615613,6,206.99068
-49.187089,6,207.462871
-60.514771,7,207.997885
-41.130826,6,208.467601
